"Provincia" "Municipio" "Partido" "VotosMuni" "PorcMuni" "Votos" "Porc" "VotosCCAA" "PorcCCAA"
"217" "AVILA" "BLASCOSANCHO" "PYC(ANULADA)" 0 0 0 0 0 0
"218" "AVILA" "BLASCOSANCHO" "VOX" 9 12.6760563380282 14246 17.4361108391266 214223 17.6445781693615
"219" "AVILA" "BLASCOSANCHO" "XAV" 6 8.45070422535211 13690 16.755605600705 13861 1.14166778546431
"220" "AVILA" "BLASCOSANCHO" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"221" "AVILA" "BOHOYO" "Cs" 3 2.63157894736842 1926 2.35728972877705 54538 4.49204802565849
"222" "AVILA" "BOHOYO" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"223" "AVILA" "BOHOYO" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"224" "AVILA" "BOHOYO" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"225" "AVILA" "BOHOYO" "Podemos" 1 0.87719298245614 2984 3.65220797023402 61666 5.07914909879821
"226" "AVILA" "BOHOYO" "PP" 62 54.3859649122807 27829 34.060755899344 381498 31.4222622335374
"227" "AVILA" "BOHOYO" "PSOE" 17 14.9122807017544 19764 24.1897581513757 364528 30.0245202005434
"228" "AVILA" "BOHOYO" "PYC(ANULADA)" 0 0 0 0 0 0
"229" "AVILA" "BOHOYO" "VOX" 18 15.7894736842105 14246 17.4361108391266 214223 17.6445781693615
"230" "AVILA" "BOHOYO" "XAV" 8 7.01754385964912 13690 16.755605600705 13861 1.14166778546431
"231" "AVILA" "BOHOYO" "Votos en blanco" 5 4.3859649122807 625 0.764956428081856 12153 1.00098756199031
"232" "AVILA" "BONILLA DE LA SIERRA" "Cs" 3 4.54545454545455 1926 2.35728972877705 54538 4.49204802565849
"233" "AVILA" "BONILLA DE LA SIERRA" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"234" "AVILA" "BONILLA DE LA SIERRA" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"235" "AVILA" "BONILLA DE LA SIERRA" "PCAS" 1 1.51515151515152 194 0.237442475276608 2834 0.233423743164696
"236" "AVILA" "BONILLA DE LA SIERRA" "Podemos" 3 4.54545454545455 2984 3.65220797023402 61666 5.07914909879821
"237" "AVILA" "BONILLA DE LA SIERRA" "PP" 27 40.9090909090909 27829 34.060755899344 381498 31.4222622335374
"238" "AVILA" "BONILLA DE LA SIERRA" "PSOE" 15 22.7272727272727 19764 24.1897581513757 364528 30.0245202005434
"239" "AVILA" "BONILLA DE LA SIERRA" "PYC(ANULADA)" 0 0 0 0 0 0
"240" "AVILA" "BONILLA DE LA SIERRA" "VOX" 13 19.6969696969697 14246 17.4361108391266 214223 17.6445781693615
