"Provincia"	"Municipio"	"Partido"	"VotosMuni"
"395"	"AVILA"	"CARDEÑOSA"	"Votos en blanco"	4
"396"	"AVILA"	"CARDEÑOSA"	"Votos nulos"	7
"397"	"AVILA"	"CASAS DEL PUERTO"	"ÁvilaLP"	0
"398"	"AVILA"	"CASAS DEL PUERTO"	"Cs"	15
"399"	"AVILA"	"CASAS DEL PUERTO"	"FE de las JONS"	1
"400"	"AVILA"	"CASAS DEL PUERTO"	"IU"	0
"401"	"AVILA"	"CASAS DEL PUERTO"	"PACMA"	0
"402"	"AVILA"	"CASAS DEL PUERTO"	"Podemos"	0
"403"	"AVILA"	"CASAS DEL PUERTO"	"PP"	43
"404"	"AVILA"	"CASAS DEL PUERTO"	"PSOE"	3
"405"	"AVILA"	"CASAS DEL PUERTO"	"VOX"	9
"406"	"AVILA"	"CASAS DEL PUERTO"	"XAV"	8
"407"	"AVILA"	"CASAS DEL PUERTO"	"Votos en blanco"	0
"408"	"AVILA"	"CASAS DEL PUERTO"	"Votos nulos"	0
"409"	"AVILA"	"CASASOLA"	"ÁvilaLP"	0
"410"	"AVILA"	"CASASOLA"	"Cs"	11
"411"	"AVILA"	"CASASOLA"	"FE de las JONS"	0
"412"	"AVILA"	"CASASOLA"	"IU"	0
"413"	"AVILA"	"CASASOLA"	"PACMA"	0
"414"	"AVILA"	"CASASOLA"	"Podemos"	0
"415"	"AVILA"	"CASASOLA"	"PP"	26
"416"	"AVILA"	"CASASOLA"	"PSOE"	6
"417"	"AVILA"	"CASASOLA"	"VOX"	1
"418"	"AVILA"	"CASASOLA"	"XAV"	16
"419"	"AVILA"	"CASASOLA"	"Votos en blanco"	1
"420"	"AVILA"	"CASASOLA"	"Votos nulos"	0
