Código.de.mesa;Provincia;Código..municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
208;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;FEdelasJONS;1
209;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;PCAS;0
210;05-016-2-001-A;AVILA;16;AREVALO;2;1;A;691;218;353;455;9;2;PYC(ANULADA);0
211;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;PP;175
212;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;VOX;87
213;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;PSOE;83
214;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;XAV;27
215;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;Cs;11
216;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;Podemos;8
217;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;PACMA;3
218;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;PCAS;0
219;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;FEdelasJONS;0
220;05-016-2-001-B;AVILA;16;AREVALO;2;1;B;660;188;318;410;9;7;PYC(ANULADA);0
221;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;PP;234
222;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;PSOE;141
223;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;VOX;128
224;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;XAV;32
225;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;Cs;16
226;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;Podemos;13
227;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;PCAS;1
228;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;PACMA;1
229;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;FEdelasJONS;0
230;05-016-2-002-U;AVILA;16;AREVALO;2;2;U;905;282;485;581;7;8;PYC(ANULADA);0
231;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;PP;161
232;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;VOX;113
233;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;PSOE;104
234;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;XAV;37
235;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;Cs;13
236;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;Podemos;8
237;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;PACMA;2
238;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;PCAS;1
239;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;FEdelasJONS;0
240;05-016-2-003-A;AVILA;16;AREVALO;2;3;A;650;239;354;446;5;2;PYC(ANULADA);0
241;05-016-2-003-B;AVILA;16;AREVALO;2;3;B;621;199;327;397;10;3;PP;179
242;05-016-2-003-B;AVILA;16;AREVALO;2;3;B;621;199;327;397;10;3;PSOE;88
243;05-016-2-003-B;AVILA;16;AREVALO;2;3;B;621;199;327;397;10;3;VOX;66
